REGIONE,CODICE REGIONE,PROVINCIA,CODICE AZIENDA,CODICE STRUTTURA,DENOMINAZIONE STRUTTURA,DENOMINAZIONE COMUNE,PARTITA IVA,CODICE COMUNE,INDIRIZZO,CAP,TELEFONO,NUMERO FAX,SITO WEB,E-MAIL,TIPO STRUTTURA,TIPO IRCCS/A.O. UNIV. E POLICLINICO,TIPO CASA DI CURA,DIPARTIMENTO EMERGENZA,CENTRO TRASFUSIONALE,SERVIZIO RIANIMAZIONE,DIAGNOSTICA PER IMMAGINI,RADIOTERAPIA,ONCOLOGIA MEDICA,SERVIZIO DIALISI,PRONTO SOCCORSO,SALE OPERATORIE,POSTI CAMERE IPERBARICHE,INCUBATRICI,AMBULANZE TIPO A,AMBULANZE TIPO A CON MEDICO,AMBULANZE TIPO B,AMBULANZE PEDIATRICHE,AMBULANZE TRASP. EMERGENZA NEONATO,UNITÀ MOBILI RIANIMAZIONE,ANNO APERTURA,APPARECCHIATURE TECNICO BIOMEDICHE,ATTIVITÀ RIABILITAZIONE,CULLE,DATA AGGIORNAMENTO
Sicilia,190,,208,190343,P.O. DI MARIA AVOLA,,01661590891,089002,C.DA CHIUSA DI CARLO,96012,0931582111,0931582278,,,01,,,,X,,X,,X,X,X,2,0,0,0,0,0,0,0,2,,X,,0,20180125
Sicilia,190,,208,190344,P.O. TRIGONA NOTO,,01661590891,089013,VIA DEI MILLE,96017,0931890111,0931890334,,,01,,,,,,X,,,,X,4,0,4,1,0,0,0,0,1,,X,,9,20180125
Sicilia,190,,208,190345,P.O. UMBERTO I (EX A.O.),,01661590891,089017,Via Testaferrata 1,96100,0931724111,093166132,www.asp.sr.it,direzionegenerale@asp.sr.it,01,,,2,X,X,X,,X,X,X,10,5,21,2,0,0,0,0,1,,X,,35,20180130
Sicilia,190,,208,190346,P.O. MUSCATELLO AUGUSTA,,01661590891,089001,C.DA GRANATELLO,96011,0931989111,0931989018,www.asp.sr.it,ospedalemuscatello@infinito.it,01,,,,X,,X,,X,,X,2,0,0,1,1,0,0,0,1,,X,,0,20180131
Sicilia,190,,208,190347,OSPEDALE GENERALE DI ZONA,,01661590891,089011,C.DA COLLE ROGGIO - S.P. LENTINI-SCORDIA,96016,095909111,095909507,www.asp.sr.it,d.s.lentini@asp.sr.it,01,,,1,X,,X,,X,X,X,5,0,3,1,1,0,0,0,1,,X,,10,20180130
Sicilia,190,,208,190348,P.O. A. Rizza,,01661590891,089017,Viale Epipoli 74,96100,0931724502,0931491723,www.asp.sr.it,direzionegenerale@asp.sr.it,01,,,2,,,X,X,,,,0,0,0,0,0,0,0,0,0,,X,,0,20180130
Sicilia,190,,208,190507,CASA DI CURA SANTA LUCIA GLEF,,00882610892,089017,VIA LOMBARDIA 1,96100,0931410111,0931443650,,carmelo.riscica@glef.it,05,,1,,,,X,,,,,3,0,0,0,0,0,0,0,0,1984,X,,0,20180201
Sicilia,190,,208,190508,CASA DI CURA VILLA MAURITIUS ARC,,00984310896,089017,VIA FRANCOFONTE 5,96100,0931491510,0931491593,,villamauritius@virgilio.it,05,,1,,,,X,,,,,0,0,0,0,0,0,0,0,0,1981,X,,0,20180213
Sicilia,190,,208,190509,IST.ORT. VILLA SALUS I. GALATIOTO SRL,,01552710897,089001,VIA PROVINC. PER BRUCOLI 507/A,96011,0931990111,0931512061,www.villasalus.it,cmi@villasalus.it,05,,1,,,,X,,,,,5,22,0,0,0,0,0,0,0,1962,X,,0,20180129
Sicilia,190,,208,190550,C. DI CURA 'VILLA AZZURRA' - GESIN SRL,,01851530897,089017,VIA CASSARO S.N.,96100,0931788111,0931490017,www.villaazzurra.it,direzionesanitaria@villaazzurra.it,05,,1,,,,X,,,,,2,0,0,0,0,0,0,0,0,1998,X,,0,20180130
Sicilia,190,,208,190701,CLINICA VILLA RIZZO,,04335601003,089017,VIA S.AGATI N 3/5/7,96100,0931708111,0931441731,www.villarizzo.it,daniela.romano@villarizzo.it,05,,1,,,,X,,,,,3,0,0,0,0,0,0,0,0,2002,X,,0,20180125
Sicilia,190,,209,190349,P.O. SAN VITO E SANTO SPIRITO -ALCAMO,,02363280815,081001,VIA FRANCESCO CRISPI 116,91011,0924599111,0924599261,www.asptrapani.it,,01,,,1,,,X,,,,X,2,0,0,0,0,0,0,0,2,,X,,0,20180222
Sicilia,190,,209,190350,P.O. 'B. NAGAR' - PANTELLERIA,,02363280815,081014,PIAZZALE NICOLO` ALMANZA,91017,0923910234,0923911337,,,01,,,,,X,X,,,X,X,1,5,2,0,0,1,0,1,0,,X,,4,20180313
Sicilia,190,,209,190351,P.O. S. ANTONIO ABATE - TRAPANI,,02363280815,081008,"VIA COSENZA, 82",91016,0923809111,0923809339,www.asptrapani.it,direzionesanitaria.potrapani@asptrapani.it,01,,,1,X,X,X,,X,X,X,7,5,15,1,0,1,0,0,1,,X,,19,20180305
Sicilia,190,,209,190352,P.O. V.EMANUELE II CASTELVETRANO,,02363280815,081006,"VIA MARINELLA, 5 C/VETRANO",91022,0924930230,0924930326,www.asptrapani.it,direzionesanitariacastelvetrano@asptrapani.it,01,,,1,,X,X,,X,X,X,5,4,0,0,0,0,0,0,2,,X,,5,20180307
Sicilia,190,,209,190353,P.O.PAOLO BORSELLINO - MARSALA,,02363280815,081011,VIA SALEMI - C/DA CARDILLA,91025,0923753110,0923753088,,,01,,,1,X,X,X,,,X,X,6,0,0,0,0,1,0,0,2,,X,,0,20180209
Sicilia,190,,209,190354,P.O.ABELE AJELLO-MAZARA D.VALLO,,02363280815,081012,VIA SALEMI n°175,91026,0923657912,0923657927,,direzione.sanitaria.mazara@asptrapani.it,01,,,1,,X,X,X,,,X,4,0,3,0,0,0,0,0,2,2017,X,,4,20180306
Sicilia,190,,209,190355,P.O. VITTORIO EMANUELE III - SALEMI,,02363280815,081018,VIA DANTE ALIGHIERI,91018,0924990111,092464900,,direzione.sanitaria.salemi@asltrapani.it,01,,,,,,X,,,,,2,0,0,0,0,2,0,0,0,,X,,0,20180301
Sicilia,190,,209,190501,CASA DI CURA VILLA DEI GERANI,,00253750814,081008,"VIA A. MANZONI, 83 CASA SANTA ERICE",91016,0923557311,0923554366,www.villadeigerani.tp.it,info@villadeigerani.tp.it,05,,1,,,,X,,X,,,3,0,0,0,0,0,0,0,0,1949,X,,0,20180206
Sicilia,190,,209,190502,CASA DI CURA SANT`ANNA SRL.,,01726680811,081008,"VIA SALITA SANT`ANNA, 34 ERICE C.S.",91016,0923557211,0923557285,,amministrazione@casadicurasantanna.com,05,,1,,,,,,,,,3,4,5,0,0,0,0,0,0,1995,X,,20,20180206
Sicilia,190,,209,190549,CASA DI CURA MORANA SRL,,01466200811,081011,CONTRADA DARA 744/D,91025,0923745222,0923968409,,cdcmorana@interfree.it,05,,1,,,,X,,,,,0,0,0,0,0,0,0,0,0,1990,X,,0,20180206
Sicilia,190,,209,190556,CASA DI CURA RIABIL. VITTORIA S.r.l,,02627880814,081006,"VIALE DEI TEMPLI, 116",91022,092481075,0924932011,www.casadicura.vanico.it,info@casadicuravittoria.it,05,,1,,,,X,,,,,0,0,0,0,0,0,0,0,0,2018,X,X,0,20180419
Sicilia,190,,921,190921,A.O. per l'Emergenza Cannizzaro,,04721280875,087015,via Messina 829,95126,0957262486,0957262466,www.aocannizzaro.it,aoc.dirsan@libero.it,00,,,,,,X,X,X,,,0,0,0,0,0,0,0,0,0,,X,,0,20180102
Sicilia,190,,922,190922,ARNAS GARIBALDI,,04721270876,087015,"PIAZZA SANTA MARIA DI GESU', 5/7",95124,0957591111,095337462,www.ao-garibaldi.ct.it,dir.generale@arnasgaribaldi.it,00,,,2,X,X,X,X,X,X,X,24,0,27,2,0,3,0,1,1,,X,,18,20180126
Sicilia,190,,923,190923,A.O.U. POLICLINICO - VITTORIO EMANUELE,,04721290874,087015,VIA SANTA SOFIA 78,95123,0953782530,0953785281,www.policlinicovittorioemanuele.it,g.licciardello@ao-ve.it,02,1,,2,X,X,X,X,X,X,X,40,0,43,2,2,2,1,0,1,,X,,32,20180131
Sicilia,190,,924,190924,Azienda Ospedaliera Papardo,,03051880833,083048,contrada papardo,98158,0903992862,0903996311,www.aopapardo.it,loredanacausini@aopapardo.it,00,,,1,X,X,X,X,X,X,X,16,8,15,1,0,0,0,0,1,2016,X,,26,20180130
Sicilia,190,,925,190925,Azienda Osp. Univ. G. Martino,,03051890832,083048,viale gazzi,98124,0902211,0902212595,ww.polime.it,dirsanaou@unime.it,02,1,,2,X,X,X,X,X,X,X,20,8,23,2,0,2,0,0,2,,X,,18,20180427
Sicilia,190,,926,190926,A.O.R Villa Sofia Cervello,,05841780827,082053,"Viale Strasburgo, 233",90146,0917801111,,www.ospedaliriunitipalermo.it,segreteriadirezionegenerale@villasofia.it,00,,,2,X,X,X,,X,X,X,18,0,0,0,0,6,1,1,2,,X,,37,20180131
Sicilia,190,,927,190927,Azienda Ospedaliera 'Civico-Di Cristina-,,05841770828,082053,"Piazza Nicola Leotta, 4",90127,0916661111,0916662620,www.arnascivico.it,direzionegenerale@arnascivico.it,00,,,,X,X,X,X,X,X,X,25,8,13,0,0,6,0,0,0,,X,,32,20180201
Sicilia,190,,928,190928,AZ.OSP.UNIV.P.GIACCONE,,05841790826,082053,Via del Vespro n. 129,90127,0916555215,0916555619,www.policlinico.pa.it,protocollo.aoup@pec.policlinicogiaccone.it,02,1,,2,X,X,X,,X,X,X,21,8,0,0,0,0,0,1,0,,X,,0,20180327
Sicilia,190,,929,190929,IRCCS Ismett,,04544550827,082053,"Via Ernesto Tricomi, 5",90127,0912192111,0912192244,www.ismett.edu,mail@ismett.edu,03,2,,,,X,X,,,,,5,0,0,0,0,0,0,0,0,,X,,0,20180214
Sicilia,190,,950,190950,ASSOCIAZIONE OASI MARIA SS,,,086018,VIA CONTE RUGGERO 73,94018,0935936111,0935936392,www.oasi.en.it,info@oasi.en.it,03,2,,,,,,,,,,0,0,0,0,0,0,0,0,0,1990,X,,0,20180102
Sicilia,190,,960,190960,IRCCS Centro Neurolesi 'Bonino Pulejo',,02733700831,083048,SS.113 Via Palermo C / Casazza,98124,09060128507,09060128876,http://www.irccsme.it,danilo.ferrara@irccsme.it,03,1,,,,X,X,,,,X,3,0,0,0,0,0,0,0,0,2006,X,,0,20180409
Sicilia,190,,970,190970,Dipartimento Rizzoli-Sicilia,,00302030374,082006,SS13 al km 246,90011,0919297031,0919297032,http://www.ior.it/rizzoli-sicilia/home,segreteriarizzolisicilia@ior.it,03,1,,,,X,,,,,,2,0,0,0,0,0,0,0,0,2012,X,,0,20180423
